YGB102333;GBS15845 nagy gumi nyíl.rózsa;0,63400;14;12;0,186;FS;0,119;0,095
YGB108229;GBS8633-1 gumi magn.ag x2;0,77400;12;12;0,212;FS;0,138;0,111
GF151133;09BS1012 42lvs diff.ág 6/KÖT;0,29100;480;1;0,157;US;0,044;0,033
GF151140;09BS1013 42lvs acuba ag 6/KÖT;0,38500;480;1;0,157;US;0,044;0,033
GF153342;11EG0333C 38lvs allo zold;4,38000;4;12;0,211;US;0,724;0,625
LC004347;009FB00823őszi marga.bokorx14;1,47000;10;12;0,318;US;0,150;0,100
JH004996;AK02615 kozepes fu;0,07400;12;72;0,101;FS;0,025;0,019
LC107635.;222 SF00240 szalas szegfű;0,11600;18;96;0,306;US;0,011;0,007
JH005665WHITE;AJ19999KDszalaskisKriz AKCIOS;0,16900;20;72;0,253;FS;0,014;0,010
JH005665CREAM;AJ19999KDszalaskisKriz AKCIOS;0,16900;20;72;0,253;FS;0,014;0,010
JH005726WHITE;AJ25556 tepett ktizi;0,23300;16;72;0,341;FS;0,022;0,015
LC005337;"09-SF00799 8".szalas krizi;0,44700;10;48;0,330;US;0,059;0,046
LC005375;222-FB001000 lapos krizi x5 CR;1,05200;10;24;0,303;US;0,084;0,058
LC005351;222-FB00968 labda kriziX7CREAM;1,20900;12;12;0,369;DS;0,163;0,108
LC005368;222-FB00999lapos krizix7+bimCR;1,32600;10;24;0,393;US;0,118;0,091
LC005382WHITE;222-FB01013 tepett krizi x5;0,68600;10;36;0,229;DS;0,044;0,027
LC005399;222-FB01014 lapos tép.krizix7;0,78000;12;24;0,304;DS;0,070;0,045
LC005405;222-FB01021 gomb krizi cs.x5WH;0,73700;10;24;0,311;US;0,080;0,052
LC005412;222-FB01022 krizi cs.x5+bimbó;0,80600;10;24;0,311;DS;0,085;0,056
LC005429;222-FB01023 krizi cs.x7;1,06800;8;24;0,347;US;0,107;0,075
LC005436;222-FB01024 krizi cs.x7;1,15400;20;12;0,421;DS;0,129;0,083
LC005443;222-FB01025 krizi cs. x12;1,80300;12;12;0,401;DS;0,187;0,132
LC005450WHITE;222-FH00172 labda krizi fej;0,31700;12;24;0,152;DS;0,031;0,026
LC005467CREAM;222-FH00174 7 labda krizi fej;0,21800;432;1;0,130;FS;0,016;0,013
LC005467WHITE;222-FH00174 7 labda krizi fej;0,21800;432;1;0,130;FS;0,016;0,013
LC005481;222FH00177labdakrizi fej 36/Z;0,16100;576;1;0,108;US;0,011;0,009
LC005498;222-FH00211 felgomb krizi fej;0,12000;2;288;0,099;DS;0,011;0,007
LC005504;222-FH00212 7 félgömbkrizifej;0,22700;12;36;0,142;US;0,017;0,014
LC005511WHITE;222-FH00213 8 gömbkrizifej;0,33900;24;12;0,128;FS;0,023;0,019
LC107628;222FH00174STEM szálas krizi;0,32000;12;48;0,237;FS;0,041;0,032
LC005528;222-SF00994 tepett szalas kriz;0,19800;12;48;0,131;DS;0,023;0,016
LC005535;222-SF01010 tepett szal.krizi;0,34800;8;72;0,213;DS;0,038;0,029
LC005542;222-SF01014 6 szalas krizi;0,16200;12;72;0,271;US;0,018;0,011
LC005566;222-SF01016 8 Szálas nagykrizi;0,47700;12;36;0,256;FS;0,053;0,039
LC005573;99-FH0506 labda krizi fej12/PC;0,09300;864;1;0,089;DS;0,007;0,006
LC005825;222FH00183SAT-01 szat.kriz.fej;0,33000;12;36;0,172;FS;0,023;0,020
SH112127BURG;SHQ12102M15V4csepp fenyődiszAK;0,29200;112;1;0,118;FK;0,058;0,040
SH112127GOLD;SHQ12102M15V4csepp fenyődiszAK;0,29200;112;1;0,118;FK;0,058;0,040
HA110536;FH04322A madarijeszto fiuAKCIÓS!;3,80900;12;1;0,172;FD;1,000;0,833
HA110635;WG04Q322A madarij. lany AKCIÓS!;2,32000;12;1;0,173;FD;1,000;0,833
MC111816;MC18-05478 organza tasak AKCIÓS!;0,56000;24;1;0,077;FK;0,270;0,200
MC111823;MC18-5243létran miki+maci AKCIÓS!;1,46100;24;1;0,100;FK;0,279;0,237
YGB112653;GB2-0487akaszth.termés gömb AKCIÓS!;0,02700;8;6;0,148;FK;0,208;0,166
YGB104085;GBLX718018 bogyó köteg 12/BOX;2,87700;60;1;0,089;FS;0,133;0,083
YGB112752;GBS18869-1 tökök bogyoval ág;0,84200;10;24;0,216;FK;0,066;0,050
HUG105761BURG;C05 csavart gyertya LAK AKCIÓS!;0,29500;24;1;0,028;TC;0,566;0,504
3WT110109;240199 5Cm aranysz.gömb 6/s AKCIÓS!;0,29500;2;108;0,145;FK;0,046;0,032
3WT107178;380268 23cm M Cristm.gömb AKCIÓS!;0,35300;2;24;0,147;FK;0,104;0,062
3WT107185;380314 6cm sz.gömb 6/sCR AKCIÓS!;0,67700;2;48;0,187;FK;0,135;0,104
LC110840;26LP3023tök,eukp,vegy kosz AKCIÓS!;3,06500;6;4;0,301;DK;0,814;0,530
LC110857;26PL3040cédrus, tökös ág AKCIÓS!;2,13700;8;6;0,222;DK;0,321;0,208
HUR111229;B74254/12 fémfon.disz.fenyő AKCIÓS!;0,85400;40;1;0,092;FK;0,225;0,190
HUR107376;B69448-10 sizal margaretafej AKCIÓS!;0,08000;900;1;0,081;FH;0,013;0,012
JH111540;BG00762 bogyó,dobz,madz.pick13;0,31500;12;72;0,161;FK;0,020;0,016
KNG113766;DXY24633-1 toboz miki gyt AKCIÓS!;0,11600;16;12;0,063;FP;0,062;0,052
KNG107239;CA51046 nagy balerina AKCIÓS!;0,02700;144;1;0,077;FP;0,100;0,083
EG104122;EG-A4098 tökhasú ülő fiú+lány;2,13700;12;1;0,034;FK;0,250;0,166
EG113124;EGS060 kéményseprő hűtőmágnes AKCIÓS!;0,44200;24;12;0,039;FP;0,057;0,050
EG113148;EGS069 kapaszk.kéményseprő AKCIÓS!;0,08600;48;4;0,118;FP;0,093;0,083
GF110420;06QP0588 glitt.kigyo ag AKCIÓS!;1,16300;16;12;0,211;UK;0,145;0,114
GF152390;16NX2089 szololev. glitt.pick;0,39900;12;48;0,216;UK;0,026;0,018
